PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,STRUCFAC,CHAINS,RESIDUES,DATE,COMMENTS
4BFH,1.3,HYDROLASEINHIBITOR,N,0.15787,0.15927,Y,A,30,19-MAR-13,NA
4BFO,1.2,HYDROLASE,N,0.1571,0.1693,Y,A,106,21-MAR-13,NA
4BGC,1.2,TRANSPORTPROTEIN,N,0.16499,0.20463,Y,A,101,25-MAR-13,NA
4BJ0,1,HYDROLASE,Y,0.115,0.129,Y,A,167,15-APR-13,NA
4BK7,1.1,ALLERGEN,N,0.13656,0.17545,Y,A,159,22-APR-13,NA
4BKD,1.2,ALLERGEN,N,0.178,0.202,Y,A,158,23-APR-13,NA
4BLK,1,OXIDOREDUCTASE,N,0.1308,0.1369,Y,A,330,03-MAY-13,NA
4BM1,1.1,OXIDOREDUCTASE,N,0.1320,0.1473,Y,AB,674,05-MAY-13,NA
4BN4,1.3,HYDROLASE,Y,0.13993,0.17950,Y,NA,272,13-MAY-13,NA
4BPF,1,LIGASE,N,0.1302,0.1560,Y,A,85,26-MAY-13,NA
4BPS,1.1,HYDROLASE,N,0.127,0.147,Y,A,327,28-MAY-13,NA
4BPZ,1.1,HYDROLASE,N,0.144,0.175,Y,AB,503,29-MAY-13,NA
4BRC,1.3,HYDROLASE,N,0.13638,0.18559,Y,AB,720,04-JUN-13,NA
4BS0,1.1,LYASE/LYASEINHIBITOR,Y,0.1252,0.1452,Y,AB,600,06-JUN-13,NA
4BS6,1.2,HYDROLASE,N,0.12359,0.15497,Y,AB,438,07-JUN-13,NA
4BT3,1.1,LYASE,N,0.20737,0.22466,Y,A,236,12-JUN-13,NA
4BUH,1.3,IMMUNESYSTEM,N,0.147,0.173,Y,AB,467,20-JUN-13,NA
4BY8,0.94,ANTIBIOTIC,N,0.166,0.217,Y,A,10,18-JUL-13,NA
4C09,1.2,HYDROLASE,N,0.119,0.139,Y,A,223,31-JUL-13,NA
4C5X,1.3,DNA,N,0.145,0.173,Y,AB,22,16-SEP-13,NA
4C6A,1.3,TRANSFERASE,N,0.1638,0.1721,Y,A,151,18-SEP-13,NA
4C6F,1.3,HYDROLASE,N,0.1232,0.1357,Y,A,363,18-SEP-13,NA
4CD5,1.1,HYDROLASE,N,0.15273,0.17213,Y,A,367,30-OCT-13,NA
4CE8,0.9,SUGARBINDINGPROTEIN,Y,0.126,0.141,Y,ABCD,456,10-NOV-13,NA
4CFI,1.3,STRUCTURALPROTEIN,N,0.13774,0.16461,Y,A,258,18-NOV-13,NA
4CGO,1.3,TRANSFERASE,Y,0.16325,0.19558,Y,A,411,25-NOV-13,NA
4CGS,1.3,TRANSCRIPTION,N,0.17509,0.21964,Y,AB,335,26-NOV-13,NA
4CHI,1.3,TRANSFERASE,N,0.104,0.127,Y,AB,639,02-DEC-13,NA
4CJ0,1.1,HYDROLASE/DENOVOPROTEIN,Y,0.108,0.125,Y,A,594,18-DEC-13,NA
4CK4,1.1,TRANSPORTPROTEIN,N,0.14078,0.16942,Y,AB,321,27-DEC-13,NA
4CNG,1.1,TRANSFERASE,N,0.16273,0.18458,Y,AB,304,22-JAN-14,NA
4CNN,1,LYASE,N,0.132,0.149,Y,AB,492,23-JAN-14,NA
4CNX,1.2,LYASE,N,0.112,0.147,Y,A,257,25-JAN-14,NA
4CO3,1.1,SIGNALINGPROTEIN,N,0.171,0.199,Y,AB,209,25-JAN-14,NA
4CO8,1.1,TRANSCRIPTION,N,0.11727,0.13201,Y,A,98,27-JAN-14,NA
4CQH,1.1,FLUORESCENTPROTEIN,N,0.13825,0.15996,Y,A,306,17-FEB-14,NA
4CRG,1.3,HYDROLASE,N,0.1764,0.1951,Y,A,217,26-FEB-14,NA
4CT2,1.3,TRANSFERASE,N,0.1939,0.2256,Y,A,279,11-MAR-14,NA
4CVR,1.1,OXIDOREDUCTASE,N,0.13534,0.16544,Y,A,156,29-MAR-14,NA
4CXP,1.2,HYDROLASE,N,0.11947,0.13444,Y,A,257,08-APR-14,NA
4CZ5,1,CELLCYCLE,N,0.159,0.178,Y,ABCD,118,16-APR-14,NA
4CZQ,1.2,OXIDOREDUCTASE,N,0.1514,0.1619,Y,A,367,21-APR-14,NA
4D0Q,1.2,LYASE,N,0.129,0.159,Y,A,161,29-APR-14,NA
4D1T,1.3,HYDROLASE,N,0.1315,0.1483,Y,A,229,05-MAY-14,NA
4D3P,1.3,HYDROLASE,N,0.15624,0.17762,Y,A,147,23-OCT-14,NA
4D4C,1.3,HYDROLASE,Y,0.17697,0.20949,Y,AB,671,27-OCT-14,NA
4D4X,1.3,ELECTRONTRANSPORT,Y,0.171,0.214,Y,A,125,31-OCT-14,NA
4D5M,0.85,HORMONE,N,0.080,0.087,Y,ABCD,32,05-NOV-14,NA
4D6G,1.2,HYDROLASE,N,0.118,0.133,Y,A,587,11-NOV-14,NA
4D8B,1.1,HYDROLASE,N,0.145,0.160,Y,A,254,10-JAN-12,NA
4DD5,1.3,TRANSFERASE,N,0.118,0.135,Y,A,387,18-JAN-12,NA
4DP9,1,ELECTRONTRANSPORT,N,0.122,0.144,Y,X,99,13-FEB-12,NA
4DPZ,1.3,TRANSFERASE,N,0.151,0.179,Y,X,109,14-FEB-12,NA
4DQE,1.3,HYDROLASE/HYDROLASEINHIBITOR,Y,0.204,0.219,Y,AB,198,15-FEB-12,NA
4DQJ,1.2,HYDROLASE,Y,0.152,0.170,Y,AB,275,16-FEB-12,NA
4DT5,1.1,ANTIFREEZEPROTEIN,N,0.138,0.161,Y,AB,281,20-FEB-12,NA
4DUI,1.2,DENOVOPROTEIN,Y,0.125,0.149,Y,A,164,22-FEB-12,NA
4DUQ,1.3,METALBINDINGPROTEIN,N,0.138,0.168,Y,AB,178,22-FEB-12,NA
4DVC,1.2,OXIDOREDUCTASE,N,0.120,0.139,Y,A,184,23-FEB-12,NA
4DXK,1.3,ISOMERASE,N,0.155,0.169,Y,NA,364,27-FEB-12,NA
4DXZ,1.3,HYDROLASEINHIBITOR,N,0.142,0.171,Y,A,109,28-FEB-12,NA
4DY4,1.2,TRANSCRIPTION,N,0.150,0.171,Y,AC,375,28-FEB-12,NA
4E0K,0.97,PROTEINFIBRIL,N,0.114,0.131,Y,ABCD,24,04-MAR-12,NA
4E1Q,1.3,ISOMERASE,N,0.178,0.185,Y,A,170,06-MAR-12,NA
4E1U,0.92,DNA,N,0.140,0.149,Y,AB,24,07-MAR-12,NA
4E2B,1.3,OXIDOREDUCTASE,N,0.147,0.171,Y,A,378,08-MAR-12,NA
4E2V,1.2,TRANSFERASE/TRANSFERASEINHIBITOR,Y,0.139,0.153,Y,A,364,09-MAR-12,NA
4E3X,1.2,OXIDOREDUCTASE,N,0.156,0.180,Y,NA,1089,10-MAR-12,NA
4E3Y,0.95,HYDROLASE,N,0.131,0.145,Y,AB,480,11-MAR-12,NA
4E46,1.3,HYDROLASE,N,0.113,NULL,Y,A,293,12-MAR-12,NA
4E8S,1.2,DNA,N,0.104,0.129,Y,A,10,20-MAR-12,NA
4E97,1.3,HYDROLASE,N,0.143,0.166,Y,AB,353,20-MAR-12,NA
4E9S,1.1,METALBINDINGPROTEIN,N,NULL,NULL,Y,A,476,21-MAR-12,NA
4E9X,1.1,METALBINDINGPROTEIN,N,NULL,NULL,Y,ABC,949,21-MAR-12,NA
4EA9,0.9,TRANSFERASE,Y,0.139,0.155,Y,A,207,22-MAR-12,NA
4EBG,1.2,UNKNOWNFUNCTION,N,0.138,0.167,Y,AB,190,23-MAR-12,NA
4EET,1.2,SIGNALINGPROTEINFLAVOPROTEIN,N,0.202,0.211,Y,BD,218,28-MAR-12,NA
4EEW,1.3,CHAPERONE,N,0.185,0.200,Y,AB,149,28-MAR-12,NA
4EGU,0.95,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.137,0.152,Y,AB,233,01-APR-12,NA
4EIC,0.84,ELECTRONTRANSPORT,N,0.106,0.127,Y,A,93,05-APR-12,NA
4EID,1.1,ELECTRONTRANSPORT,N,0.139,0.176,Y,A,93,05-APR-12,NA
4EIE,1,ELECTRONTRANSPORT,N,0.137,0.163,Y,A,82,05-APR-12,NA
4EIF,1,ELECTRONTRANSPORT,N,0.120,0.145,Y,A,82,05-APR-12,NA
4EIH,1.2,TRANSFERASE,N,0.161,0.181,Y,A,101,05-APR-12,NA
4EIR,1.1,OXIDOREDUCTASE,N,0.133,0.149,Y,AB,444,05-APR-12,NA
4EJD,1.1,HYDROLASE/HYDROLASEINHIBITOR,N,0.147,0.176,Y,AB,201,06-APR-12,NA
4EKF,0.98,HYDROLASE,N,0.135,0.168,Y,A,191,09-APR-12,NA
4EL4,1.2,HYDROLASE,N,0.169,0.202,Y,A,425,10-APR-12,NA
4EMN,1.2,HYDROLASE,Y,0.150,0.188,Y,ABCD,322,12-APR-12,NA
4EOD,1.3,OXIDOREDUCTASE,N,0.166,0.188,Y,A,243,13-APR-12,NA
4EOE,1.2,OXIDOREDUCTASE,N,0.150,0.171,Y,A,242,13-APR-12,NA
4EP4,1.3,HYDROLASE,N,0.155,0.191,Y,AB,332,17-APR-12,NA
4ERC,1.1,HYDROLASE,N,0.129,0.145,Y,AB,300,19-APR-12,NA
4ES1,1.1,HYDROLASE,N,0.158,0.164,Y,A,95,21-APR-12,NA
4ESP,1.1,ALLERGEN,N,0.169,0.183,Y,A,130,23-APR-12,NA
4ETN,1.1,HYDROLASE,N,0.156,0.173,Y,A,148,24-APR-12,NA
4EUO,1.3,TRANSPORTPROTEIN,N,0.166,0.181,Y,A,313,25-APR-12,NA
4EUZ,1.1,HYDROLASE/ANTIBIOTIC,N,0.115,0.138,Y,A,268,25-APR-12,NA
4EX6,1.3,HYDROLASE,N,0.121,0.153,Y,A,219,30-APR-12,NA
4EXK,1.3,TRANSPORTPROTEIN,N,0.143,0.178,Y,NA,475,30-APR-12,NA
4EZ8,1.2,TRANSFERASE/TRANSFERASEINHIBITOR,Y,0.108,0.130,Y,A,287,02-MAY-12,NA
4EZF,1.2,METALBINDINGPROTEIN,N,0.165,0.167,Y,AB,140,02-MAY-12,NA
4EZI,1.1,UNKNOWNFUNCTION,N,0.137,0.157,Y,A,359,02-MAY-12,NA
4F06,1.3,TRANSPORTPROTEIN,N,0.123,0.143,Y,A,355,03-MAY-12,NA
4F0W,1.2,HYDROLASE,N,0.183,0.192,Y,A,152,05-MAY-12,NA
4F14,1.2,ACTIN-BINDINGPROTEIN/PEPTIDE,Y,0.145,0.171,Y,A,67,06-MAY-12,NA
4F1V,0.88,PHOSPHATE-BINDINGPROTEIN,N,0.126,0.140,Y,A,372,07-MAY-12,NA
4F4N,1.3,DNA,N,0.155,0.181,Y,AC,14,10-MAY-12,NA
4F5Z,1.2,HYDROLASE,N,0.122,0.155,Y,A,292,14-MAY-12,NA
4F98,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.145,0.169,Y,A,61,18-MAY-12,NA
4FCF,1.1,HYDROLASE/HYDROLASEINHIBITOR,N,0.124,0.150,Y,A,265,24-MAY-12,NA
4FCH,1.3,CARBOHYDRATE-BINDINGPROTEIN,N,0.165,0.177,Y,AB,426,24-MAY-12,NA
4FGL,1.2,OXIDOREDUCTASE/OXIDOREDUCTASEINHIBITOR04-JUN-12,Y,0.160,0.173,Y,ABCD,923,4FGL,NA
4FK9,1.1,HYDROLASE,N,0.119,0.132,Y,A,314,13-JUN-12,NA
4FKB,1.2,HYDROLASE,N,0.129,0.165,Y,AB,774,13-JUN-12,NA
4FN7,1.3,ISOMERASE,N,0.150,0.183,Y,ABC,687,19-JUN-12,NA
4FP6,1.3,DNA,N,0.191,0.221,Y,A,7,21-JUN-12,NA
4FR9,1.2,UNKNOWNFUNCTION,N,0.147,0.172,Y,A,131,26-JUN-12,NA
4FRU,1.1,ISOMERASE,N,0.117,0.139,Y,A,185,26-JUN-12,NA
4FRV,1.1,ISOMERASE,N,0.120,0.138,Y,A,185,26-JUN-12,NA
4FS5,1.3,DNA,N,0.213,0.264,Y,AB,12,26-JUN-12,NA
4FS6,1.3,DNA,N,0.195,0.230,Y,A,6,27-JUN-12,NA
4FS7,1.2,PROTEINBINDING,N,0.132,0.157,Y,A,379,27-JUN-12,NA
4FUU,1.3,HYDROLASE,N,0.120,0.157,Y,A,288,28-JUN-12,NA
4FWB,1.3,HYDROLASE,N,0.136,0.166,Y,A,292,30-JUN-12,NA
4FZP,1.3,UNKNOWNFUNCTION,Y,0.180,0.188,Y,AB,161,06-JUL-12,NA
4G13,0.8,ANTIBIOTIC,N,0.078,0.081,Y,A,5,10-JUL-12,NA
4G14,1.1,ANTIBIOTIC,N,0.123,0.171,Y,A,5,10-JUL-12,NA
4G3B,1.2,DENOVOPROTEIN,N,0.178,0.187,Y,AB,46,13-JUL-12,NA
4G78,0.92,TRANSFERASE,N,NULL,0.155,Y,A,147,20-JUL-12,NA
4G8C,1.1,HYDROLASE,N,0.136,0.158,Y,AB,549,23-JUL-12,NA
4G9E,1.1,HYDROLASE,Y,0.129,0.152,Y,AB,549,23-JUL-12,NA
4G9S,0.95,HYDROLASE/HYDROLASEINHIBITOR,Y,0.129,0.136,Y,A,298,24-JUL-12,NA
4GA0,1.1,TRANSPORTPROTEIN,N,0.216,0.239,Y,A,143,24-JUL-12,NA
4GA1,1.1,TRANSPORTPROTEIN,N,0.195,0.223,Y,A,140,24-JUL-12,NA
4GA2,0.95,TRANSPORTPROTEIN,N,0.178,0.199,Y,A,144,24-JUL-12,NA
4GBU,1.2,OXIDOREDUCTASE,Y,0.102,0.121,Y,A,399,28-JUL-12,NA
4GDA,1,BIOTIN-BINDINGPROTEIN,N,0.120,0.143,Y,AB,247,31-JUL-12,NA
4GES,1.2,FLUORESCENTPROTEIN,N,0.164,0.188,Y,B,229,02-AUG-12,NA
4GEV,1.3,TRANSFERASE,Y,0.128,0.151,Y,AB,526,02-AUG-12,NA
4GF6,1.1,FLUORESCENTPROTEIN,N,0.167,0.179,Y,B,242,03-AUG-12,NA
4GG1,1.1,LYASE,N,0.140,0.156,Y,A,525,04-AUG-12,NA
4GHO,1.1,HYDROLASE,N,0.098,0.117,Y,AB,192,08-AUG-12,NA
4GIE,1.3,OXIDOREDUCTASE,N,0.120,0.136,Y,A,288,08-AUG-12,NA
4GJZ,1,OXIDOREDUCTASE,Y,0.147,0.163,Y,A,228,10-AUG-12,NA
4GKC,1.3,TRANSPORTPROTEIN,N,0.189,0.225,Y,AB,266,10-AUG-12,NA
4GM0,1.1,LYASE,N,0.138,0.151,Y,A,525,15-AUG-12,NA
4GM1,1.3,LYASE,N,0.139,0.160,Y,A,525,15-AUG-12,NA
4GM4,1.3,LYASE,N,0.139,0.159,Y,A,525,15-AUG-12,NA
4GMQ,1.3,RIBOSOME-BINDINGPROTEIN,N,0.153,0.188,Y,A,92,16-AUG-12,NA
4GMU,1.2,LYASE,Y,0.172,0.196,Y,A,610,16-AUG-12,NA
4GNR,1,TRANSPORTPROTEIN,N,0.127,0.147,Y,NA,347,17-AUG-12,NA
4GNU,1.1,HYDROLASE,N,0.157,0.172,Y,AB,530,17-AUG-12,NA
4GOG,1.1,HYDROLASE/ANTIBIOTIC,Y,0.150,0.168,Y,AB,534,20-AUG-12,NA
4GP9,1.1,LYASE,N,0.138,0.150,Y,A,525,20-AUG-12,NA
4GQ4,1.3,TRANSCRIPTION/TRANSCRIPTIONINHIBITOR,N,0.151,0.182,Y,A,469,22-AUG-12,NA
4GQM,1.3,UNKNOWNFUNCTION,N,0.159,0.173,Y,A,105,23-AUG-12,NA
4GRJ,1.1,TRANSPORTPROTEIN,Y,0.162,0.185,Y,AB,368,24-AUG-12,NA
4GS3,1.1,DNABINDINGPROTEIN,N,0.154,NULL,Y,A,90,27-AUG-12,NA
4GVQ,1.3,HYDROLASE,N,0.135,0.160,Y,ABC,945,31-AUG-12,NA
4GWB,1.2,OXIDOREDUCTASE,N,0.160,0.180,Y,A,163,01-SEP-12,NA
4GXW,1.3,HYDROLASE,N,0.161,0.181,Y,AB,733,04-SEP-12,NA
4GZC,1.3,ENDOCYTOSISLIPIDBINDINGPROTEIN,N,0.213,0.231,Y,A,132,06-SEP-12,NA
4GZN,0.99,TRANSCRIPTION/DNA,Y,0.132,0.140,Y,A,79,06-SEP-12,NA
4H27,1.3,LYASE,N,0.146,0.168,Y,A,317,12-SEP-12,NA
4H3U,1.1,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.129,0.143,Y,AB,254,14-SEP-12,NA
4H4I,1.3,OXIDOREDUCTASE,Y,0.126,0.146,Y,A,399,17-SEP-12,NA
4H4N,1.1,UNKNOWNFUNCTION,N,0.147,0.182,Y,A,62,17-SEP-12,NA
4H7P,1.3,OXIDOREDUCTASE,N,0.153,0.178,Y,AB,619,20-SEP-12,NA
4H7W,1.1,UNKNOWNFUNCTION,N,0.133,0.154,Y,A,187,21-SEP-12,NA
4H8E,1.3,TRANSFERASE/TRANSFERASEINHIBITOR,Y,0.175,0.194,Y,A,235,22-SEP-12,NA
4HCJ,1.1,HYDROLASE,N,0.116,0.127,Y,A,169,30-SEP-12,NA
4HCS,1.3,SIGNALINGPROTEIN,N,0.184,0.206,Y,A,67,01-OCT-12,NA
4HE6,1.1,UNKNOWNFUNCTION,N,0.123,0.163,Y,A,89,03-OCT-12,NA
4HEQ,1.3,ELECTRONTRANSPORT,N,0.181,0.211,Y,AB,290,04-OCT-12,NA
4HGU,0.98,HYDROLASEINHIBITOR,N,0.106,0.129,Y,A,40,08-OCT-12,NA
4HI7,1.3,UNKNOWNFUNCTION,N,0.201,0.228,Y,AB,439,11-OCT-12,NA
4HIF,0.85,DNA,Y,0.092,0.113,Y,AB,12,11-OCT-12,NA
4HIG,0.75,DNA,Y,0.071,0.081,Y,AB,12,11-OCT-12,NA
4HIL,1.3,ELECTRONTRANSPORT,N,0.138,0.152,Y,AB,166,11-OCT-12,NA
4HIQ,1.2,HORMONEBINDINGPROTEIN/INHIBITOR,Y,0.161,0.186,Y,AB,231,11-OCT-12,NA
4HJB,1.3,UNKNOWNFUNCTION,N,0.142,0.191,Y,CABD,108,12-OCT-12,NA
4HK8,1.2,HYDROLASE,Y,0.112,0.127,Y,A,189,15-OCT-12,NA
4HKL,1.1,HYDROLASE,Y,0.120,0.129,Y,A,189,15-OCT-12,NA
4HM8,1.3,OXIDOREDUCTASE/OXIDOREDUCTASEINHIBITOR17-OCT-12,N,0.171,0.194,Y,A,638,4HM8,NA
4HNO,0.92,HYDROLASE,N,0.126,0.139,Y,A,285,20-OCT-12,NA
4HP2,0.64,ANTIBIOTIC,N,0.076,NULL,Y,AB,12,23-OCT-12,NA
4HP7,1.1,ANTIBIOTIC,N,NULL,0.216,Y,ABCD,0,23-OCT-12,NA
4HQZ,1.2,OXIDOREDUCTASE,N,0.156,0.176,Y,AB,286,26-OCT-12,NA
4HRO,1.1,PROTEINBINDING,N,0.140,0.166,Y,AB,175,28-OCT-12,NA
4HRR,1.3,OXYGENTRANSPORT,N,0.139,0.174,Y,ACEG,1199,28-OCT-12,NA
4HSX,1.1,OXIDOREDUCTASE,N,0.127,0.150,Y,AB,274,31-OCT-12,NA
4HUA,1.1,OXIDOREDUCTASE,N,0.160,0.172,Y,A,107,02-NOV-12,NA
4HVU,0.98,SIGNALINGPROTEIN/PEPTIDE,Y,0.146,0.160,Y,A,67,07-NOV-12,NA
4HVW,0.98,SIGNALINGPROTEIN/PEPTIDE,Y,0.134,0.141,Y,A,73,07-NOV-12,NA
4HY4,1.2,LIGASE/LIGASEINHIBITOR,N,0.153,0.170,Y,AB,187,12-NOV-12,NA
4HY7,1.2,ISOMERASE/INHIBITOR,N,0.187,0.204,Y,A,172,13-NOV-12,NA
4HZ8,1.1,HYDROLASE,N,0.136,0.161,Y,A,439,14-NOV-12,NA
4I07,1.3,HYDROLASE,N,0.139,0.177,Y,A,252,16-NOV-12,NA
4I1G,1.3,DNA,N,0.209,0.217,Y,A,7,20-NOV-12,NA
4I2U,1.3,OXIDOREDUCTASE,N,0.142,0.166,Y,A,109,23-NOV-12,NA
4I3B,1.2,FLUORESCENTPROTEIN,N,0.131,0.159,Y,ABCDEF,829,26-NOV-12,NA
4I4O,1.1,SUGARBINDINGPROTEIN,N,0.151,0.160,Y,AB,292,28-NOV-12,NA
4I5U,1.2,HYDROLASE,N,0.143,0.158,Y,A,358,29-NOV-12,NA
4I62,1.1,TRANSPORTPROTEIN,N,0.166,0.179,Y,NA,237,29-NOV-12,NA
4I66,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.160,0.198,Y,A,195,29-NOV-12,NA
4I71,1.3,HYDROLASE/HYDROLASEINHIBITOR,N,0.127,0.147,Y,A,325,30-NOV-12,NA
4I7W,1.3,BIOSYNTHETICPROTEIN,N,0.172,0.186,Y,AB,586,01-DEC-12,NA
4I8H,0.75,HYDROLASE,N,0.102,0.111,Y,A,220,03-DEC-12,NA
4I9V,1,DNA,N,0.161,0.182,Y,AB,22,05-DEC-12,NA
4IAU,0.99,UNKNOWNFUNCTION,N,0.107,0.129,Y,A,158,07-DEC-12,NA
4ID0,1.1,TRANSFERASE,N,0.159,0.172,Y,AB,402,11-DEC-12,NA
4ID4,1.1,HYDROLASE,N,0.116,0.138,Y,A,263,11-DEC-12,NA
4IEU,1.3,OXIDOREDUCTASE,N,0.148,0.176,Y,A,186,13-DEC-12,NA
4IGI,1.2,CELLADHESION,N,0.121,0.148,Y,A,197,17-DEC-12,NA
4IHK,1.2,CELLADHESION,N,0.140,0.166,Y,A,193,19-DEC-12,NA
4IHM,1.3,HYDROLASE,N,0.141,0.148,Y,A,323,19-DEC-12,NA
4III,1,DNA,N,0.101,0.114,Y,A,10,20-DEC-12,NA
4IIL,1.3,MEMBRANEPROTEIN,N,0.122,0.153,Y,A,314,20-DEC-12,NA
4IIY,1.2,HYDROLASE,Y,0.164,0.175,Y,AB,672,20-DEC-12,NA
4INC,1.2,HYDROLASE,N,0.161,0.178,Y,NA,213,04-JAN-13,NA
4INW,1.1,PHEROMONE-BINDINGPROTEIN,Y,0.161,0.183,Y,A,140,07-JAN-13,NA
4IPM,1.1,HYDROLASE,N,0.123,0.155,Y,A,430,10-JAN-13,NA
4IQB,1.1,TRANSFERASE,N,0.115,0.139,Y,AB,576,11-JAN-13,NA
4ITK,1.2,ELECTRONTRANSPORT,N,0.110,0.147,Y,A,104,18-JAN-13,NA
4IUS,1.3,TRANSFERASE,N,0.130,0.156,Y,A,254,21-JAN-13,NA
4IVV,1.1,HYDROLASE,N,0.142,0.157,Y,A,174,23-JAN-13,NA
4IZX,1.1,SUGARBINDINGPROTEIN,Y,0.109,0.132,Y,A,139,30-JAN-13,NA
4J20,1.3,OXIDOREDUCTASE,N,0.151,0.170,Y,AB,176,04-FEB-13,NA
4J42,1.3,UNKNOWNFUNCTION,N,0.163,0.174,Y,AB,165,06-FEB-13,NA
4J44,1.3,APOPTOSIS,N,0.174,0.193,Y,AC,163,06-FEB-13,NA
4J4Z,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.170,0.181,Y,A,160,07-FEB-13,NA
4J5K,1.2,HYDROLASE,N,0.106,0.136,Y,AB,192,08-FEB-13,NA
4J5R,1.3,HYDROLASE,N,0.120,0.153,Y,AB,280,09-FEB-13,NA
4J8A,1.3,FLUORESCENTPROTEIN,N,0.131,0.165,Y,A,227,14-FEB-13,NA
4J8C,1.1,CHAPERONE,N,0.136,0.162,Y,AB,88,14-FEB-13,NA
4J9C,1.1,TRANSFERASE/UNKNOWNFUNCTION,Y,0.147,0.162,Y,A,68,16-FEB-13,NA
4JBD,1.3,ISOMERASE,N,0.159,0.184,Y,A,308,19-FEB-13,NA
4JCC,1.1,TRANSPORTPROTEIN,N,0.146,0.169,Y,NA,284,21-FEB-13,NA
4JD8,1.2,DNA,N,0.139,0.162,Y,AB,12,24-FEB-13,NA
4JEA,1.2,ELECTRONTRANSPORT,N,0.134,0.179,Y,ABCD,424,26-FEB-13,NA
4JED,1.1,TRANSFERASE,N,0.115,0.131,Y,A,212,26-FEB-13,NA
4JER,1.1,TRANSPORTPROTEIN,N,0.139,0.146,Y,A,181,27-FEB-13,NA
4JF1,1.3,TRANSFERASE,N,0.168,0.180,Y,AB,777,27-FEB-13,NA
4JF5,1.1,HYDROLASE,N,0.141,0.162,Y,A,242,27-FEB-13,NA
4JG2,1.3,UNKNOWNFUNCTION,N,0.126,0.163,Y,A,185,28-FEB-13,NA
4JGL,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.135,0.153,Y,A,145,01-MAR-13,NA
4JH2,1.3,TRANSFERASE,N,0.126,0.152,Y,AB,276,04-MAR-13,NA
4JHT,1.2,OXIDOREDUCTASE/OXIDOREDUCTASEINHIBITOR05-MAR-13,Y,NULL,0.166,Y,A,201,4JHT,NA
4JIU,1.1,HYDROLASE,N,0.147,0.192,Y,A,105,07-MAR-13,NA
4JJ7,1.2,HYDROLASE/HYDROLASEINHIBITOR,N,0.136,0.157,Y,A,242,07-MAR-13,NA
4JJA,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.121,0.151,Y,A,341,07-MAR-13,NA
4JK8,1.1,RNABINDINGPROTEIN,N,0.141,0.160,Y,AB,441,09-MAR-13,NA
4JKB,1.3,RNABINDINGPROTEIN,N,0.121,0.145,Y,AB,441,09-MAR-13,NA
4JL5,1.2,TRANSFERASE,N,0.132,0.159,Y,AB,406,12-MAR-13,NA
4JMP,1.3,TRANSFERASE,N,0.173,0.191,Y,A,226,14-MAR-13,NA
4JN7,1.1,LYASE,N,0.136,0.145,Y,A,395,14-MAR-13,NA
4JOK,1.1,PEPTIDEBINDINGPROTEIN,N,0.182,0.186,Y,NA,189,18-MAR-13,NA
4JP6,1,UNKNOWNFUNCTION,N,0.154,0.181,Y,A,121,19-MAR-13,NA
4JRD,1,RNA,N,0.128,0.158,Y,AB,22,21-MAR-13,NA
4JRU,1.2,UNKNOWNFUNCTION,N,0.167,0.184,Y,A,201,22-MAR-13,NA
4JU8,1.3,LYASE,N,0.135,0.156,Y,A,525,24-MAR-13,NA
4JU9,1.1,LYASE,N,0.127,0.138,Y,A,524,24-MAR-13,NA
4JUA,1.1,LYASE,N,0.132,0.150,Y,A,525,24-MAR-13,NA
4JVO,1.3,IMMUNESYSTEM,N,0.117,0.148,Y,AB,668,25-MAR-13,NA
4JVU,1.3,PROTEINBINDING,N,0.139,0.168,Y,AB,207,26-MAR-13,NA
4JXR,1.1,TRANSFERASE,N,0.116,0.137,Y,AB,360,28-MAR-13,NA
4JYP,1.3,HYDROLASE,N,0.170,0.191,Y,AB,534,31-MAR-13,NA
4JZ5,1.1,HYDROLASE,N,0.135,0.143,Y,A,206,02-APR-13,NA
4K0N,1.3,TRANSPORTPROTEIN,N,0.149,0.170,Y,A,234,04-APR-13,NA
4K0W,1.2,HYDROLASE,N,0.183,0.202,Y,A,234,04-APR-13,NA
4K12,1.1,IMMUNESYSTEM/CHOLINEBINDINGPROTEIN,N,0.155,0.170,Y,A,146,04-APR-13,NA
4K4O,1.3,ISOMERASE/ISOMERASEINHIBITOR,N,0.179,0.196,Y,A,190,12-APR-13,NA
4K6B,1.1,VIRALPROTEIN,N,0.151,0.157,Y,ABC,463,15-APR-13,NA
4K7T,1.1,ANTIBIOTIC,Y,0.128,0.149,Y,A,8,17-APR-13,NA
4K7Y,1.2,OXIDOREDUCTASE,N,0.117,0.135,Y,A,399,17-APR-13,NA
4K8G,1.3,METALBINDINGPROTEIN,N,0.141,0.148,Y,NA,386,18-APR-13,NA
4K8M,0.87,ELECTRONTRANSPORT,N,NULL,0.155,Y,A,84,18-APR-13,NA
4K8Y,1,HYDROLASE/HYDROLASEINHIBITOR,N,0.151,0.170,Y,A,232,19-APR-13,NA
