PDB,RES,SIM,SIMRES
1RWA,1.3,1RWH,1.25
4B9E,1.4,4BAZ,1.35
4BAZ,1.35,4BAT,1.3
3WIJ,1.3,4MNK,1.29
1XF6,1.1,1XG0,0.97
4BT7,1.1,4BT2,1.1
4BT2,1.1,4BT5,1.1
4BT5,1.1,4BT3,1.1
6GAK,1.43,6GAJ,1.35
2A8F,1.35,2AIB,1.1
5W0I,1.43,5W0E,1.41
3DBK,1.4,6F8B,1.3
3QVR,1.3,3QVP,1.2
4MZB,1.038,4MZC,0.949
4CD4,1.2,4CD5,1.1
6NIV,1.45,5I55,1.45
5I55,1.45,6GQC,1.4
6W6Y,NONE,6W02,
3NBD,1.15,3NBC,1.01
5L0T,1.43,5L0V,1.305
5Z3E,1.1,5Z3F,1.1
1UU6,1.4,1OLR,1.2
6QWU,NONE,,
6QXR,NONE,,
6QYF,NONE,,
6QXQ,NONE,,
3GIX,1.33,4IN0,1.327
4FZO,1.3,4FZP,1.29
4ZZU,1.44,4ZZV,1.37
4D3P,1.27,3S4E,1.26
4MJC,1.409,4MJE,1.2
4F18,0.96,4F1V,0.88
3BZP,1.499,3BZS,1.48
4EAA,1.45,4EA7,1
4EA7,1,4EA9,0.9
6NP4,1.151,6NP3,1.15
4HI9,1.203,4HI8,1.203
3E7U,1.35,3E7R,1
4A48,1.4,4A4J,1.25
1K4P,1,1K4I,0.98
1XMT,1.15,2Q44,1.15
4Q7R,1.4,4Q7U,1.3
6JSC,1.4,6JSA,1.3
4OZL,1.494,4OZJ,1.45
1XOZ,1.37,1TBF,1.3
3MQD,1.25,3U0F,1.25
6W34,NONE,,
4HI8,1.203,4HI9,1.203
2W13,1.14,2W15,1.05
2RB5,1.03,2RBK,1
3E6Z,1,2QCP,1
2CL2,1.35,2W39,1.1
1DRY,1.4,1DS1,1.08
5X1S,1.45,5HNV,1.41
4UHE,1.16,4UHF,1.08
4UHF,1.08,4UHC,1.03
3IIU,1.45,3IIS,1.4
4YYR,1.349,4YYU,1.177
5ONK,1.03,6HRI,1.03
3PB4,1.13,3PB8,1.13
3PB8,1.13,3PB9,1.12
3PB9,1.12,3PB6,1.05
3AXI,1.4,3AJ7,1.3
1EA7,0.93,2IXT,0.8
2IXT,0.8,3D43,0.8
2PV2,1.3,2PV1,1.3
5DKM,0.92,5KWM,0.777
3WDD,1.18,3WDC,1.18
3UI5,1.4,3UI4,0.8
4CZO,1.199,4CZN,1.199
4CZN,1.199,4CZQ,1.198
1FAZ,1.4,1LWB,1.05
3OD9,1.411,4PJ2,1.24
1NTE,1.24,1R6J,0.73
2J72,1.49,2J73,1.4
1TKY,1.48,1TKE,1.46
4RYV,1.38,4Y31,1.32
4RK5,1.35,4RK4,1.32
3S0Q,1.45,3PBC,1.38
3PBC,1.38,3NE0,1
4MV2,1.349,4Q29,1.349
4ZG8,1.39,4ZH5,1.35
6UNX,1.4,6UMK,1.35
5BN2,1.3,2W2E,1.15
2W2E,1.15,3ZOJ,0.88
2ANV,1.04,2ANX,1.04
3ABX,1.4,3A9B,1.2
4XPW,1.17,4XPY,1.13
4XPY,1.13,4XPX,1.03
3KFI,1.42,3KFH,1.02
3KFH,1.02,3KFF,0.96
4AFD,1.34,4AFM,1.25
5AZ3,1.423,5B51,1.3
5B51,1.3,5B4Z,1.3
2Z53,1.29,2QET,1.24
2QET,1.24,2QES,1.24
2QES,1.24,2Z4U,1.1
3LQ3,1.42,3FEG,1.302
3SII,1.48,3SIG,1.28
4JXQ,1.15,4JXR,1.15
6GP2,1.48,6GP3,1.23
5N6Y,1.35,6FEA,1.2
5XCQ,1.313,5XCT,1.17
2I3F,1.38,2Q52,1.38
4NYN,1.41,4E19,1.41
6FUD,1.3,6FUB,1.3
4CX9,1.43,4ULV,1.29
5IMK,1.227,5IMM,1.2
1KUG,1.37,1KUF,1.35
5AIF,1.26,5AIG,1.16
4NN0,1.42,4F3J,1.337
4PMN,1.44,4PMO,1.33
1PA7,1.45,2QJZ,1.25
3CV2,1.4,3CUZ,1.04
5HH9,1.47,5I90,1.219
6F47,1.35,6G8U,1.308
4KPT,1.4,4LA9,1.3
6EMN,1.25,6GHT,1.12
4URE,1.4,4URF,1.1
6I0A,1.3,6I05,1.213
5BQF,1.45,4XCV,1.4
5E1X,1.46,5E1W,1.392
2XN7,1.43,2XN6,1.29
5CZG,1.451,4PKL,1.251
4DXZ,1.25,4G9S,0.95
3NYE,1.3,3NYC,1.06
4QY8,1.353,4QYO,1.208
6ED0,1.44,6ECY,1.4
6G09,1.4,6G00,1.4
3A0N,1.45,3GNE,1.2
2G3D,1.35,2G2S,1.2
2UUX,1.4,2UUY,1.15
3JYQ,1.16,3JYO,1
5CTN,1.35,5CTM,1
5OPZ,1.34,5OQ1,1.34
2BOI,1.1,2BV4,1
2I4B,1.35,2I49,1.35
3P2U,1.48,3G1P,1.4
1ECN,1.4,1ECO,1.4
1ECO,1.4,1ECD,1.4
1ECD,1.4,1ECA,1.4
5VIQ,1.34,5VIV,1.33
3ZIJ,1.4,3ZIT,1.18
6RYM,1.46,6RYJ,1.25
6RYJ,1.25,6RYG,0.974
4NSY,1.1,4NSV,0.9
3Q70,1.4,3PVK,1.27
4LLQ,1.42,4LLD,1.19
4Q4N,1.38,4Q4G,0.97
1BS9,1.1,1G66,0.9
3JUB,1.2,3JUD,0.98
1Z2P,1.22,1Z2N,1.2
3LJI,1.39,3LSN,1.35
6T0Y,1.2,6T1B,1.2
5GLX,1.42,5GM9,1.36
3AB5,1.18,3WCQ,0.97
3CU4,1.3,6U97,1.13
5JU9,1.18,5JTS,1.09
5JTS,1.09,5JUG,0.96
3KLR,0.88,3WDN,0.86
4K8M,0.87,4HS1,0.87
5OD1,1.34,5OD9,1.13
2WFI,0.75,2WFJ,0.75
6IBD,1.48,6XY7,1.086
1KNM,1.2,1KNL,1.2
5B42,1.35,5Z42,1.3
5L4S,1.41,5LDG,1.3
5IMM,1.2,2PND,1
3WGE,0.95,3WGX,0.92
5CXL,1.45,5CVW,1.25
5NFK,0.98,5NFM,0.8
3US5,1.38,3UE2,1.23
1IS9,1.03,1KWF,0.94
5KY2,1.47,5KXH,1.33
3N8U,1.44,3OYV,1.25
4JP7,1.05,4JP6,1
4PAI,1.4,4PBH,1.2
6JV1,1.2,6JV0,1.14
6PWR,1.2,6PWS,1
6SCD,1.35,6SBN,1.09
1RDG,1.4,2DSX,0.68
3WP5,1.32,3WP4,1.27
3BU1,1.4,3BS2,1.15
2DCT,1.45,1V70,1.3
4XEH,1.391,4XDZ,1.15
6SAN,1.36,6SA5,1.29
6CUN,1.29,3CP5,1.24
5VSN,1.439,4P9L,1.436
4P9L,1.436,4P9I,1.34
5MT2,1.41,5MUJ,1.37
3EXY,1.48,3EUN,1.05
5OBW,1.4,5OBY,1.3
6DR8,1.476,6DQH,1.104
3LN3,1.18,6M7K,1.1
5YDF,1.399,5YDE,1.023
3R69,1.499,3R68,1.3
5INJ,1.4,5JXM,1.15
4GA1,1.15,4GA2,0.95
1KCC,1,1K5C,0.96
4H4J,1.15,4Q68,1.07
5NYY,1.28,6S07,1.04
1USO,1.3,1USM,1.2
3ZQW,1.07,3ZUC,1.001
6RP5,1.49,4ESA,1.45
2OWS,1.49,1Y9U,1.39
1BX8,1.4,1BX7,1.2
6JK5,1.25,6JK4,1.06
5CWC,1.25,5CWG,1.2
6FM6,1.05,6FM7,1.04
3QFS,1.4,3QFT,1.4
4RY0,1.4,5IBQ,1.2
2J6B,1.3,2J6C,1.3
4HA3,1.46,4HA4,1.37
6QU8,1.19,6QU6,1.03
3V7P,1.35,4M51,1.08
6ELT,1.35,6ELV,1.05
4P9K,1.4,4PAK,1.2
4I2T,1.4,4I2U,1.3
3W4O,1.18,3W4P,1.05
1PPT,1.37,2BF9,0.99
6Q3P,1.03,6Q41,1.03
6BPF,1.318,6BN3,1.278
3V3W,1.4,3V4B,1.4
2EHT,1.4,2EHS,1.3
5MUK,1.49,5MUL,1.39
1SSH,1.4,1OOT,1.39
3TUA,1.09,3TU8,1.04
4Q2M,1.489,4Q2L,1.071
3ZZR,1.45,3ZZO,1.15
3VPL,1.2,2DDX,0.86
4RS3,1.4,5HKO,1.2
2HLQ,1.45,2HLR,1.2
3KBF,1.3,3KBE,1.1
4IGI,1.2,4IHK,1.2
6F0W,1.301,6EY1,1.199
4MF6,1.2,4MF5,1.11
4UYS,1.05,4UYT,1.03
1D06,1.4,1EW0,1.4
1FY2,1.2,1FYE,1.2
1GXT,1.27,1GXU,1.27
3TB4,1.35,3TG2,1.101
4N2R,1.2,4N1I,1
4WVW,1.47,4WVV,1.205
2F1S,1.4,2BBR,1.2
4I45,1.4,3R87,1.05
4OJX,1.31,4OJV,1.31
3NYR,1.45,3NYQ,1.43
4EVS,1.45,4F06,1.3
4YBF,1.24,4Y9W,0.83
4HE5,1.15,4HE6,1.1
3VRK,1.33,3VQJ,1.2
4IVV,1.05,5CTV,1.05
6E3D,1.271,6E4D,1.252
